no,brand,model,slug,png,svg,cpu,ram,storage,gpu,price,weight,os
32,Dell,XPS 13,dell-xps-13,32_dell-xps-13.png,32_dell-xps-13.svg,Core Ultra 7,16,512GB,내장,200~270만원,1.19,Windows
33,Dell,XPS 15,dell-xps-15,33_dell-xps-15.png,33_dell-xps-15.svg,i7,32,1TB,RTX4050,280~360만원,1.9,Windows
34,Dell,G15 RTX4060,dell-g15-rtx4060,34_dell-g15-rtx4060.png,34_dell-g15-rtx4060.svg,i7,16,1TB,RTX4060,170~240만원,2.6,Windows
35,MSI,Modern 14,msi-modern-14,35_msi-modern-14.png,35_msi-modern-14.svg,Ryzen5,16,512GB,내장,80~160만원,1.4,Windows
36,MSI,Prestige 14 AI Evo,msi-prestige-14-ai-evo,36_msi-prestige-14-ai-evo.png,36_msi-prestige-14-ai-evo.svg,Core Ultra 7,32,1TB,내장,150~230만원,1.29,Windows
37,MSI,Cyborg 15 RTX4060,msi-cyborg-15-rtx4060,37_msi-cyborg-15-rtx4060.png,37_msi-cyborg-15-rtx4060.svg,i7,16,512GB,RTX4060,150~220만원,2.0,FreeDOS
38,MSI,Creator M16 RTX4060,msi-creator-m16-rtx4060,38_msi-creator-m16-rtx4060.png,38_msi-creator-m16-rtx4060.svg,i7,32,1TB,RTX4060,210~300만원,2.0,Windows
39,MSI,Stealth 14 Studio,msi-stealth-14-studio,39_msi-stealth-14-studio.png,39_msi-stealth-14-studio.svg,i7,32,1TB,RTX4060,210~300만원,1.7,Windows
40,Apple,MacBook Air 13 M3,apple-macbook-air-13-m3,40_apple-macbook-air-13-m3.png,40_apple-macbook-air-13-m3.svg,M3,16,512GB,통합,160~220만원,1.24,macOS
41,Apple,MacBook Air 15 M3,apple-macbook-air-15-m3,41_apple-macbook-air-15-m3.png,41_apple-macbook-air-15-m3.svg,M3,16,512GB,통합,190~240만원,1.51,macOS
42,Apple,MacBook Pro 14 M3 Pro,apple-macbook-pro-14-m3-pro,42_apple-macbook-pro-14-m3-pro.png,42_apple-macbook-pro-14-m3-pro.svg,M3 Pro,18,512GB,통합,280~350만원,1.61,macOS
43,Apple,MacBook Pro 16 M3 Pro,apple-macbook-pro-16-m3-pro,43_apple-macbook-pro-16-m3-pro.png,43_apple-macbook-pro-16-m3-pro.svg,M3 Pro,36,1TB,통합,410~460만원,2.14,macOS
44,Microsoft,Surface Laptop 5,microsoft-surface-laptop-5,44_microsoft-surface-laptop-5.png,44_microsoft-surface-laptop-5.svg,i7,16,512GB,내장,160~230만원,1.54,Windows
45,Microsoft,Surface Laptop Studio 2,microsoft-surface-laptop-studio-2,45_microsoft-surface-laptop-studio-2.png,45_microsoft-surface-laptop-studio-2.svg,i7,32,1TB,RTX4050,300~370만원,1.98,Windows
