model,brand,cpu,cpu_score,ram_gb,storage_gb,storage_label,gpu,gpu_score,expected_price_min_krw,expected_price_max_krw,weight_kg,os_type,display,suitable_tags,option_matched_search_query,model_search_link,price_basis_note,must_check_before_buy
IdeaPad Slim 5 16,Lenovo,Ryzen7,3,16,512,512GB,내장,1,800000,1600000,1.82,Windows,16인치,문서/경영/컴퓨터공학,Lenovo IdeaPad Slim 5 16 Ryzen7 16GB 512GB Windows 노트북,https://search.danawa.com/dsearch.php?query=Lenovo%20IdeaPad%20Slim%205%2016%20Ryzen7%2016GB%20512GB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,일반형 16GB/512GB 생산성 노트북 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Yoga Pro 7,Lenovo,Ryzen7,3,32,1024,1TB,RTX4050,3,2100000,2900000,1.59,Windows,14.5인치,디자인/영상/컴퓨터공학/AI/데이터/휴대성,Lenovo Yoga Pro 7 Ryzen7 32GB 1TB RTX4050 Windows 노트북,https://search.danawa.com/dsearch.php?query=Lenovo%20Yoga%20Pro%207%20Ryzen7%2032GB%201TB%20RTX4050%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,다나와 RTX4050 32GB/1TB 검색 결과 242만 원 출시가·289만 원대 사례 확인,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
LOQ 15 RTX4060,Lenovo,i7,3,16,512,512GB,RTX4060,4,1500000,2200000,2.4,FreeDOS,15.6인치,AI/데이터/건축/공학/게임/콘텐츠/가성비,Lenovo LOQ 15 RTX4060 i7 16GB 512GB RTX4060 FreeDOS 노트북,https://search.danawa.com/dsearch.php?query=Lenovo%20LOQ%2015%20RTX4060%20i7%2016GB%20512GB%20RTX4060%20FreeDOS%20%EB%85%B8%ED%8A%B8%EB%B6%81,RTX4060 16GB/512GB FreeDOS 중심 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Legion 5 RTX4060,Lenovo,Ryzen7,3,32,1024,1TB,RTX4060,4,2100000,3000000,2.4,Windows,16인치,AI/데이터/건축/공학/게임/콘텐츠,Lenovo Legion 5 RTX4060 Ryzen7 32GB 1TB RTX4060 Windows 노트북,https://search.danawa.com/dsearch.php?query=Lenovo%20Legion%205%20RTX4060%20Ryzen7%2032GB%201TB%20RTX4060%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,다나와 RTX4060 32GB/1TB 검색 결과 212만~250만 원대 이상 확인,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Legion Slim 5,Lenovo,Ryzen7,3,32,1024,1TB,RTX4060,4,2100000,3000000,2.3,Windows,16인치,AI/데이터/게임/콘텐츠/공학,Lenovo Legion Slim 5 Ryzen7 32GB 1TB RTX4060 Windows 노트북,https://search.danawa.com/dsearch.php?query=Lenovo%20Legion%20Slim%205%20Ryzen7%2032GB%201TB%20RTX4060%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,다나와 RTX4060 32GB/1TB 검색 결과 212만~250만 원대 이상 확인,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Pavilion Plus 14,HP,i7,3,16,512,512GB,내장,1,800000,1600000,1.4,Windows,14인치,문서/경영/컴퓨터공학/휴대성,HP Pavilion Plus 14 i7 16GB 512GB Windows 노트북,https://search.danawa.com/dsearch.php?query=HP%20Pavilion%20Plus%2014%20i7%2016GB%20512GB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,일반형 16GB/512GB 생산성 노트북 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Envy x360 14,HP,Ryzen7,3,16,512,512GB,내장,1,800000,1600000,1.39,Windows,14인치,문서/경영/디자인/필기/휴대성,HP Envy x360 14 Ryzen7 16GB 512GB Windows 노트북,https://search.danawa.com/dsearch.php?query=HP%20Envy%20x360%2014%20Ryzen7%2016GB%20512GB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,일반형 16GB/512GB 생산성 노트북 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Victus 16 RTX4050,HP,i7,3,16,512,512GB,RTX4050,3,1300000,2000000,2.3,FreeDOS,16인치,디자인/영상/건축/공학/게임/가성비,HP Victus 16 RTX4050 i7 16GB 512GB RTX4050 FreeDOS 노트북,https://search.danawa.com/dsearch.php?query=HP%20Victus%2016%20RTX4050%20i7%2016GB%20512GB%20RTX4050%20FreeDOS%20%EB%85%B8%ED%8A%B8%EB%B6%81,RTX4050 16GB/512GB FreeDOS/Windows 옵션 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Victus 16 RTX4060,HP,i7,3,32,1024,1TB,RTX4060,4,2100000,3000000,2.35,Windows,16인치,AI/데이터/게임/콘텐츠/공학,HP Victus 16 RTX4060 i7 32GB 1TB RTX4060 Windows 노트북,https://search.danawa.com/dsearch.php?query=HP%20Victus%2016%20RTX4060%20i7%2032GB%201TB%20RTX4060%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,다나와 RTX4060 32GB/1TB 검색 결과 212만~250만 원대 이상 확인,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Omen 16 RTX4070,HP,i7,3,32,1024,1TB,RTX4070,5,2400000,3400000,2.4,Windows,16인치,게임/콘텐츠/AI/데이터/공학,HP Omen 16 RTX4070 i7 32GB 1TB RTX4070 Windows 노트북,https://search.danawa.com/dsearch.php?query=HP%20Omen%2016%20RTX4070%20i7%2032GB%201TB%20RTX4070%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,RTX4070·32GB·1TB급 게이밍/크리에이터 노트북 2026 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Vivobook 16,ASUS,Ryzen7,3,16,512,512GB,내장,1,800000,1600000,1.9,Windows,16인치,문서/경영/컴퓨터공학/가성비,ASUS Vivobook 16 Ryzen7 16GB 512GB Windows 노트북,https://search.danawa.com/dsearch.php?query=ASUS%20Vivobook%2016%20Ryzen7%2016GB%20512GB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,일반형 16GB/512GB 생산성 노트북 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Zenbook 14 OLED,ASUS,Core Ultra 7,3,16,1024,1TB,내장,1,1200000,1900000,1.2,Windows,14인치,문서/경영/컴퓨터공학/디자인/휴대성,ASUS Zenbook 14 OLED Core Ultra 7 16GB 1TB Windows 노트북,https://search.danawa.com/dsearch.php?query=ASUS%20Zenbook%2014%20OLED%20Core%20Ultra%207%2016GB%201TB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,내장그래픽 16GB/1TB 생산성 노트북 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
TUF Gaming A15 RTX4060,ASUS,Ryzen7,3,16,1024,1TB,RTX4060,4,1700000,2400000,2.2,FreeDOS,15.6인치,게임/콘텐츠/건축/공학/AI/데이터/가성비,ASUS TUF Gaming A15 RTX4060 Ryzen7 16GB 1TB RTX4060 FreeDOS 노트북,https://search.danawa.com/dsearch.php?query=ASUS%20TUF%20Gaming%20A15%20RTX4060%20Ryzen7%2016GB%201TB%20RTX4060%20FreeDOS%20%EB%85%B8%ED%8A%B8%EB%B6%81,RTX4060 16GB/1TB FreeDOS/Windows 옵션 기준,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
ROG Zephyrus G14,ASUS,Ryzen9,4,32,1024,1TB,RTX4060,4,2100000,3000000,1.7,Windows,14인치,AI/데이터/게임/콘텐츠/디자인/휴대성,ASUS ROG Zephyrus G14 Ryzen9 32GB 1TB RTX4060 Windows 노트북,https://search.danawa.com/dsearch.php?query=ASUS%20ROG%20Zephyrus%20G14%20Ryzen9%2032GB%201TB%20RTX4060%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,다나와 RTX4060 32GB/1TB 검색 결과 212만~250만 원대 이상 확인,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
ProArt P16,ASUS,Ryzen9,4,32,1024,1TB,RTX4070,5,2400000,3400000,1.9,Windows,16인치,디자인/영상/콘텐츠/AI/데이터,ASUS ProArt P16 Ryzen9 32GB 1TB RTX4070 Windows 노트북,https://search.danawa.com/dsearch.php?query=ASUS%20ProArt%20P16%20Ryzen9%2032GB%201TB%20RTX4070%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,RTX4070·32GB·1TB급 게이밍/크리에이터 노트북 2026 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
ExpertBook B5,ASUS,i7,3,16,512,512GB,내장,1,800000,1600000,1.4,Windows,14인치,문서/경영/간호/휴대성,ASUS ExpertBook B5 i7 16GB 512GB Windows 노트북,https://search.danawa.com/dsearch.php?query=ASUS%20ExpertBook%20B5%20i7%2016GB%20512GB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,일반형 16GB/512GB 생산성 노트북 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Swift Go 14,Acer,i7,3,16,512,512GB,내장,1,1100000,1900000,1.3,Windows,14인치,문서/경영/컴퓨터공학/휴대성,Acer Swift Go 14 i7 16GB 512GB Windows 노트북,https://search.danawa.com/dsearch.php?query=Acer%20Swift%20Go%2014%20i7%2016GB%20512GB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,경량형 16GB/512GB 생산성 노트북 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Swift X 14 RTX4050,Acer,Core Ultra 7,3,32,1024,1TB,RTX4050,3,2100000,2900000,1.5,Windows,14.5인치,컴퓨터공학/AI/데이터/디자인/휴대성,Acer Swift X 14 RTX4050 Core Ultra 7 32GB 1TB RTX4050 Windows 노트북,https://search.danawa.com/dsearch.php?query=Acer%20Swift%20X%2014%20RTX4050%20Core%20Ultra%207%2032GB%201TB%20RTX4050%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,다나와 RTX4050 32GB/1TB 검색 결과 242만 원 출시가·289만 원대 사례 확인,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Nitro V 15 RTX4050,Acer,i7,3,16,512,512GB,RTX4050,3,1300000,2000000,2.1,FreeDOS,15.6인치,게임/콘텐츠/디자인/영상/가성비,Acer Nitro V 15 RTX4050 i7 16GB 512GB RTX4050 FreeDOS 노트북,https://search.danawa.com/dsearch.php?query=Acer%20Nitro%20V%2015%20RTX4050%20i7%2016GB%20512GB%20RTX4050%20FreeDOS%20%EB%85%B8%ED%8A%B8%EB%B6%81,RTX4050 16GB/512GB FreeDOS/Windows 옵션 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Predator Helios Neo 16,Acer,i7,3,32,1024,1TB,RTX4060,4,2100000,3000000,2.6,Windows,16인치,게임/콘텐츠/AI/데이터/공학,Acer Predator Helios Neo 16 i7 32GB 1TB RTX4060 Windows 노트북,https://search.danawa.com/dsearch.php?query=Acer%20Predator%20Helios%20Neo%2016%20i7%2032GB%201TB%20RTX4060%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,다나와 RTX4060 32GB/1TB 검색 결과 212만~250만 원대 이상 확인,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Inspiron 16,Dell,i7,3,16,1024,1TB,내장,1,1200000,1900000,1.9,Windows,16인치,경영/컴퓨터공학/문서,Dell Inspiron 16 i7 16GB 1TB Windows 노트북,https://search.danawa.com/dsearch.php?query=Dell%20Inspiron%2016%20i7%2016GB%201TB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,내장그래픽 16GB/1TB 생산성 노트북 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
XPS 13,Dell,Core Ultra 7,3,16,512,512GB,내장,1,2000000,2700000,1.19,Windows,13.4인치,문서/경영/컴퓨터공학/휴대성,Dell XPS 13 Core Ultra 7 16GB 512GB Windows 노트북,https://search.danawa.com/dsearch.php?query=Dell%20XPS%2013%20Core%20Ultra%207%2016GB%20512GB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,XPS 휴대형 16GB/512GB 옵션 가격대,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
XPS 15,Dell,i7,3,32,1024,1TB,RTX4050,3,2800000,3600000,1.9,Windows,15.6인치,디자인/영상/컴퓨터공학/AI/데이터,Dell XPS 15 i7 32GB 1TB RTX4050 Windows 노트북,https://search.danawa.com/dsearch.php?query=Dell%20XPS%2015%20i7%2032GB%201TB%20RTX4050%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,XPS 고급형 32GB/1TB/외장GPU 옵션 가격대,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
G15 RTX4060,Dell,i7,3,16,1024,1TB,RTX4060,4,1700000,2400000,2.6,Windows,15.6인치,게임/콘텐츠/건축/공학,Dell G15 RTX4060 i7 16GB 1TB RTX4060 Windows 노트북,https://search.danawa.com/dsearch.php?query=Dell%20G15%20RTX4060%20i7%2016GB%201TB%20RTX4060%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,RTX4060 16GB/1TB FreeDOS/Windows 옵션 기준,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Modern 14,MSI,Ryzen5,2,16,512,512GB,내장,1,800000,1600000,1.4,Windows,14인치,문서/경영/간호/가성비/휴대성,MSI Modern 14 Ryzen5 16GB 512GB Windows 노트북,https://search.danawa.com/dsearch.php?query=MSI%20Modern%2014%20Ryzen5%2016GB%20512GB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,일반형 16GB/512GB 생산성 노트북 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Prestige 14 AI Evo,MSI,Core Ultra 7,3,32,1024,1TB,내장,1,1500000,2300000,1.29,Windows,14인치,경영/컴퓨터공학/AI/데이터/휴대성,MSI Prestige 14 AI Evo Core Ultra 7 32GB 1TB Windows 노트북,https://search.danawa.com/dsearch.php?query=MSI%20Prestige%2014%20AI%20Evo%20Core%20Ultra%207%2032GB%201TB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,내장그래픽 32GB/1TB 생산성 노트북 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Cyborg 15 RTX4060,MSI,i7,3,16,512,512GB,RTX4060,4,1500000,2200000,2.0,FreeDOS,15.6인치,게임/콘텐츠/AI/데이터/가성비,MSI Cyborg 15 RTX4060 i7 16GB 512GB RTX4060 FreeDOS 노트북,https://search.danawa.com/dsearch.php?query=MSI%20Cyborg%2015%20RTX4060%20i7%2016GB%20512GB%20RTX4060%20FreeDOS%20%EB%85%B8%ED%8A%B8%EB%B6%81,RTX4060 16GB/512GB FreeDOS 중심 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Creator M16 RTX4060,MSI,i7,3,32,1024,1TB,RTX4060,4,2100000,3000000,2.0,Windows,16인치,디자인/영상/AI/데이터,MSI Creator M16 RTX4060 i7 32GB 1TB RTX4060 Windows 노트북,https://search.danawa.com/dsearch.php?query=MSI%20Creator%20M16%20RTX4060%20i7%2032GB%201TB%20RTX4060%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,다나와 RTX4060 32GB/1TB 검색 결과 212만~250만 원대 이상 확인,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Stealth 14 Studio,MSI,i7,3,32,1024,1TB,RTX4060,4,2100000,3000000,1.7,Windows,14인치,AI/데이터/디자인/게임/콘텐츠/휴대성,MSI Stealth 14 Studio i7 32GB 1TB RTX4060 Windows 노트북,https://search.danawa.com/dsearch.php?query=MSI%20Stealth%2014%20Studio%20i7%2032GB%201TB%20RTX4060%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,다나와 RTX4060 32GB/1TB 검색 결과 212만~250만 원대 이상 확인,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
MacBook Air 13 M3,Apple,M3,3,16,512,512GB,통합,2,1600000,2200000,1.24,macOS,13.6인치,문서/경영/컴퓨터공학/디자인/휴대성,Apple MacBook Air 13 M3 M3 16GB 512GB 통합 macOS 노트북,https://search.danawa.com/dsearch.php?query=Apple%20MacBook%20Air%2013%20M3%20M3%2016GB%20512GB%20%ED%86%B5%ED%95%A9%20macOS%20%EB%85%B8%ED%8A%B8%EB%B6%81,다나와 맥북 Air 16GB/512GB 출시가 236만 원 정보와 현 판매 변동 고려,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
MacBook Air 15 M3,Apple,M3,3,16,512,512GB,통합,2,1900000,2400000,1.51,macOS,15.3인치,문서/디자인/영상/경영/컴퓨터공학/휴대성,Apple MacBook Air 15 M3 M3 16GB 512GB 통합 macOS 노트북,https://search.danawa.com/dsearch.php?query=Apple%20MacBook%20Air%2015%20M3%20M3%2016GB%20512GB%20%ED%86%B5%ED%95%A9%20macOS%20%EB%85%B8%ED%8A%B8%EB%B6%81,다나와 맥북 Air 16GB/512GB 출시가·판매가 범위 기준,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
MacBook Pro 14 M3 Pro,Apple,M3 Pro,4,18,512,512GB,통합,3,2800000,3500000,1.61,macOS,14.2인치,디자인/영상/컴퓨터공학/콘텐츠,Apple MacBook Pro 14 M3 Pro M3 Pro 18GB 512GB 통합 macOS 노트북,https://search.danawa.com/dsearch.php?query=Apple%20MacBook%20Pro%2014%20M3%20Pro%20M3%20Pro%2018GB%20512GB%20%ED%86%B5%ED%95%A9%20macOS%20%EB%85%B8%ED%8A%B8%EB%B6%81,다나와 맥북 프로 검색 결과: RAM/SSD 옵션별 227만~300만 원대 이상 확인,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
MacBook Pro 16 M3 Pro,Apple,M3 Pro,4,36,1024,1TB,통합,4,4100000,4600000,2.14,macOS,16.2인치,디자인/영상/AI/데이터/콘텐츠,Apple MacBook Pro 16 M3 Pro M3 Pro 36GB 1TB 통합 macOS 노트북,https://search.danawa.com/dsearch.php?query=Apple%20MacBook%20Pro%2016%20M3%20Pro%20M3%20Pro%2036GB%201TB%20%ED%86%B5%ED%95%A9%20macOS%20%EB%85%B8%ED%8A%B8%EB%B6%81,"다나와 맥북 프로 16 검색 결과: 36GB/512GB 약 411만 원대 확인, Apple 고급형은 옵션별 편차 큼",검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Surface Laptop 5,Microsoft,i7,3,16,512,512GB,내장,1,1600000,2300000,1.54,Windows,15인치,문서/경영/간호/휴대성,Microsoft Surface Laptop 5 i7 16GB 512GB Windows 노트북,https://search.danawa.com/dsearch.php?query=Microsoft%20Surface%20Laptop%205%20i7%2016GB%20512GB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,Surface Laptop 16GB/512GB 옵션 가격대,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Surface Laptop Studio 2,Microsoft,i7,3,32,1024,1TB,RTX4050,3,3000000,3700000,1.98,Windows,14.4인치,디자인/영상/컴퓨터공학/휴대성,Microsoft Surface Laptop Studio 2 i7 32GB 1TB RTX4050 Windows 노트북,https://search.danawa.com/dsearch.php?query=Microsoft%20Surface%20Laptop%20Studio%202%20i7%2032GB%201TB%20RTX4050%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,Surface Studio급 32GB/1TB/RTX4050 옵션 가격대,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
